prerequisite_course,target_course,relation_context
MATH 180A,MATH 181A,OR/complex
MATH 20C,MATH 181A,OR/complex
MATH 31AH,MATH 181A,OR/complex
MATH 181A,MATH 181B,AND
MATH 181B,MATH 181C,AND
ECE 109,MATH 181D,OR/complex
ECON 120A,MATH 181D,OR/complex
MAE 108,MATH 181D,OR/complex
MATH 181A,MATH 181D,OR/complex
MATH 183,MATH 181D,OR/complex
MATH 186,MATH 181D,OR/complex
MATH 189,MATH 181D,OR/complex
MATH 181B,MATH 181E,AND
ECE 109,MATH 181F,OR/complex
ECON 120A,MATH 181F,OR/complex
MAE 108,MATH 181F,OR/complex
MATH 11,MATH 181F,OR/complex
MATH 181A,MATH 181F,OR/complex
MATH 183,MATH 181F,OR/complex
MATH 186,MATH 181F,OR/complex
MATH 189,MATH 181F,OR/complex
MATH 20C,MATH 183,OR/complex
MATH 31BH,MATH 183,OR/complex
MATH 109,MATH 184,OR/complex
MATH 31CH,MATH 184,OR/complex
ECE 109,MATH 185,OR/complex
ECON 120A,MATH 185,OR/complex
MAE 108,MATH 185,OR/complex
MATH 11,MATH 185,OR/complex
MATH 18,MATH 185,OR/complex
MATH 181A,MATH 185,OR/complex
MATH 183,MATH 185,OR/complex
MATH 186,MATH 185,OR/complex
MATH 20C,MATH 185,OR/complex
MATH 31AH,MATH 185,OR/complex
MATH 20C,MATH 186,OR/complex
MATH 31BH,MATH 186,OR/complex
MATH 18,MATH 187B,OR/complex
MATH 187A,MATH 187B,OR/complex
MATH 31AH,MATH 187B,OR/complex
MATH 100A,MATH 188,OR/complex
MATH 109,MATH 188,OR/complex
MATH 18,MATH 188,OR/complex
MATH 31AH,MATH 188,OR/complex
MATH 31CH,MATH 188,OR/complex
BENG 134,MATH 189,OR/complex
CSE 103,MATH 189,OR/complex
ECE 109,MATH 189,OR/complex
ECON 120A,MATH 189,OR/complex
MAE 108,MATH 189,OR/complex
MATH 18,MATH 189,OR/complex
MATH 180A,MATH 189,OR/complex
MATH 183,MATH 189,OR/complex
MATH 186,MATH 189,OR/complex
MATH 20C,MATH 189,OR/complex
MATH 31AH,MATH 189,OR/complex
SE 125,MATH 189,OR/complex
MATH 140A,MATH 190A,OR/complex
MATH 142A,MATH 190A,OR/complex
MATH 31CH,MATH 190A,OR/complex
MATH 190A,MATH 190B,AND
MATH 180A,MATH 193A,OR/complex
MATH 183,MATH 193A,OR/complex
MATH 193A,MATH 193B,AND
MATH 18,MATH 194,OR/complex
MATH 180A,MATH 194,OR/complex
MATH 20D,MATH 194,OR/complex
MATH 31AH,MATH 194,OR/complex
MATH 10A,MATH 20A,OR/complex
MATH 4C,MATH 20A,OR/complex
MATH 10B,MATH 20B,AND
MATH 10C,MATH 20B,AND
MATH 20A,MATH 20B,AND
MATH 20B,MATH 20C,AND
MATH 20C,MATH 20D,OR/complex
MATH 31BH,MATH 20D,OR/complex
MATH 18,MATH 20E,OR/complex
MATH 20C,MATH 20E,OR/complex
MATH 31AH,MATH 20E,OR/complex
MATH 31BH,MATH 20E,OR/complex
MATH 31AH,MATH 31BH,AND
MATH 31BH,MATH 31CH,AND
MATH 3C,MATH 4C,AND
MATH 20A,MATH 96,AND
MGT 103,MGT 105,AND
MGT 103,MGT 106,AND
MGT 103,MGT 107,AND
MGT 103,MGT 109,OR/complex
MGT 181,MGT 109,OR/complex
MGT 187,MGT 109,OR/complex
MGT 181,MGT 121A,OR/complex
MGT 187,MGT 121A,OR/complex
ECON 4,MGT 129,OR/complex
MGT 4,MGT 129,OR/complex
MGT 5,MGT 129,OR/complex
MGT 131B,MGT 132,AND
MGT 132,MGT 133,AND
MGT 132,MGT 134,AND
ECON 4,MGT 136,OR/complex
MGT 4,MGT 136,OR/complex
MGT 5,MGT 136,OR/complex
MGT 131B,MGT 138,AND
MGT 131B,MGT 139,AND
MGT 132,MGT 143,AND
MGT 131B,MGT 146,AND
MGT 131B,MGT 147,AND
BENG 100,MGT 151,OR/complex
BIEB 100,MGT 151,OR/complex
COGS 14B,MGT 151,OR/complex
ECE 109,MGT 151,OR/complex
ECON 120A,MGT 151,OR/complex
MAE 108,MGT 151,OR/complex
MATH 10A,MGT 151,OR/complex
MATH 11,MGT 151,OR/complex
MATH 18,MGT 151,OR/complex
MATH 180A,MGT 151,OR/complex
MATH 181A,MGT 151,OR/complex
MATH 183,MGT 151,OR/complex
MATH 186,MGT 151,OR/complex
MATH 20A,MGT 151,OR/complex
MATH 31AH,MGT 151,OR/complex
MGT 3,MGT 151,OR/complex
PSYC 60,MGT 151,OR/complex
SIO 187,MGT 151,OR/complex
MGT 181,MGT 154,AND
MGT 153,MGT 176,AND
MGT 175,MGT 177,AND
ECON 4,MGT 179,OR/complex
MATH 20A,MGT 179,OR/complex
MGT 3,MGT 179,OR/complex
MGT 45,MGT 179,OR/complex
ECON 173B,MGT 181,OR/complex
MGT 187,MGT 181,OR/complex
ECON 173B,MGT 183,OR/complex
MGT 181,MGT 183,OR/complex
MGT 187,MGT 183,OR/complex
ECON 173B,MGT 184,OR/complex
MGT 181,MGT 184,OR/complex
MGT 187,MGT 184,OR/complex
MGT 181,MGT 187,AND
MUS 101B,MUS 111,AND
MUS 101B,MUS 112,AND
MUS 33C,MUS 113,AND
MUS 103A,MUS 114,AND
MUS 103B,MUS 115,AND
MUS 101A,MUS 120A,AND
MUS 1C,MUS 132R,AND
MUS 120A,MUS 132V,AND
MUS 120B,MUS 133,AND
MUS 2A-B-C,MUS 137B,AND
MUS 132V,MUS 137F,AND
MUS 2A-B-C,MUS 153,AND
MUS 137A,MUS 160A,AND
MUS 137B,MUS 160B,AND
MUS 137D,MUS 171,AND
MUS 137E,MUS 172,AND
MUS 172,MUS 176,OR/complex
VIS 141B,MUS 176,OR/complex
VIS 145B,MUS 176,OR/complex
VIS 147B,MUS 176,OR/complex
MUS 160A,MUS 177,OR/complex
VIS 160A,MUS 177,OR/complex
MUS 1A,MUS 192,AND
MUS 171,MUS 198,AND
MUS 1A,MUS 1B,AND
MUS 1B,MUS 1C,AND
MUS 32V,MUS 32VM,AND
MUS 33A,MUS 33B,AND
MUS 33B,MUS 33C,AND
NANO 108,NANO 100L,AND
CHEM 6B,NANO 101,OR/complex
MATH 20C,NANO 101,OR/complex
NANO 1,NANO 101,OR/complex
NANO 15,NANO 101,OR/complex
NANO 15R,NANO 101,OR/complex
NANO 4,NANO 101,OR/complex
PHYS 2B,NANO 101,OR/complex
CHEM 6C,NANO 102,AND
MATH 20D,NANO 102,AND
NANO 101,NANO 102,AND
NANO 106,NANO 102,AND
PHYS 2D,NANO 102,AND
BILD 1,NANO 103,AND
CHEM 6C,NANO 103,AND
NANO 101,NANO 103,AND
NANO 102,NANO 103,AND
MATH 20D,NANO 104,AND
NANO 101,NANO 104,AND
MATH 20B,NANO 107,OR/complex
MATH 20D,NANO 107,OR/complex
NANO 101,NANO 107,OR/complex
NANO 15,NANO 107,OR/complex
PHYS 2B,NANO 107,OR/complex
NANO 102,NANO 110,AND
NANO 104,NANO 110,AND
NANO 15,NANO 110,AND
NANO 102,NANO 111,AND
NANO 102,NANO 112,AND
NANO 104,NANO 112,AND
NANO 111,NANO 112,AND
NANO 15,NANO 114,AND
NANO 110,NANO 120A,AND
NANO 120A,NANO 120B,AND
PHYS 2A,NANO 141A,AND
NANO 141A,NANO 141B,AND
NANO 103,NANO 146,AND
NANO 108,NANO 150,AND
NANO 108,NANO 158,AND
NANO 148,NANO 158,AND
CHEM 6A,NANO 159,AND
CHEM 6B,NANO 159,AND
CHEM 6C,NANO 159,AND
CHEM 7L,NANO 159,AND
NANO 108,NANO 161,AND
NANO 101,NANO 164,AND
NANO 102,NANO 164,AND
NANO 148,NANO 164,AND
NANO 102,NANO 168,AND
NANO 104,NANO 168,AND
NANO 108,NANO 174,AND
NANO 174,NANO 174L,AND
PHIL 32,PHIL 102,AND
PHIL 110,PHIL 109,AND
PHIL 111,PHIL 110,AND
PHIL 10,PHIL 112,AND
PHIL 120,PHIL 115,AND
PHIL 120,PHIL 122,AND
PHIL 178,PHIL 177,AND
CAT 2,PHIL 27,AND
DOC 2,PHIL 27,AND
HUM 1,PHIL 27,AND
PHIL 27,PHIL 28,OR/complex
POLI 27,PHIL 28,OR/complex
MATH 20A,PHYS 10,AND
PHYS 100A,PHYS 10,AND
PHYS 120,PHYS 100A,AND
PHYS 120,PHYS 100B,AND
PHYS 2D,PHYS 100C,AND
PHYS 100B,PHYS 105A,AND
PHYS 130B,PHYS 105B,AND
PHYS 100B,PHYS 11,AND
PHYS 2CL,PHYS 110A,AND
PHYS 100A,PHYS 110B,AND
MATH 20A,PHYS 111,AND
PHYS 130A,PHYS 116,AND
MATH 20A,PHYS 12,AND
PHYS 130B,PHYS 120,AND
MATH 20A,PHYS 13,AND
MATH 20D,PHYS 130A,AND
CHEM 130,PHYS 130B,OR/complex
PHYS 130A,PHYS 130B,OR/complex
PHYS 152A,PHYS 130C,AND
PHYS 130B,PHYS 133,AND
PHYS 1B,PHYS 142,AND
BILD 1,PHYS 151,AND
CHEM 7L,PHYS 151,AND
PHYS 120,PHYS 151,AND
CHEM 132,PHYS 152A,AND
PHYS 100A,PHYS 152A,AND
PHYS 140A,PHYS 152B,AND
PHYS 2A,PHYS 161,AND
MATH 10B,PHYS 1A,AND
PHYS 2A,PHYS 1B,AND
PHYS 2A,PHYS 1BL,AND
MATH 20D,PHYS 1C,AND
PHYS 2A,PHYS 1C,AND
PHYS 2BL,PHYS 1CL,AND
MATH 20A,PHYS 2A,AND
MATH 20B,PHYS 2B,AND
PHYS 2A,PHYS 2B,AND
MATH 20C,PHYS 2BL,AND
PHYS 2A,PHYS 2BL,AND
MATH 20A,PHYS 2C,AND
MATH 20A,PHYS 30,AND
PHYS 110A,PHYS 30,AND
MATH 10A,PHYS 4B,AND
CAT 2,PHYS 4E,OR/complex
CAT 3,PHYS 4E,OR/complex
DOC 2,PHYS 4E,OR/complex
DOC 3,PHYS 4E,OR/complex
HUM 1,PHYS 4E,OR/complex
HUM 2,PHYS 4E,OR/complex
MATH 20A,PHYS 87,AND
PHYS 100B,PHYS 98,AND
POLI 104A,POLI 104J,AND
POLI 104J,POLI 104K,AND
ECON 5,POLI 170A,AND
ECON 5,POLI 171,AND
CAT 2,POLI 27,AND
DOC 2,POLI 27,AND
HUM 1,POLI 27,AND
COGS 101A,PSYC 111B,OR/complex
COGS 107A,PSYC 111B,OR/complex
COGS 107B,PSYC 111B,OR/complex
COGS 107C,PSYC 111B,OR/complex
COGS 14A,PSYC 111B,OR/complex
COGS 14B,PSYC 111B,OR/complex
PSYC 102,PSYC 111B,OR/complex
PSYC 106,PSYC 111B,OR/complex
PSYC 108,PSYC 111B,OR/complex
PSYC 60,PSYC 111B,OR/complex
PSYC 70,PSYC 111B,OR/complex
PSYC 60,PSYC 114,AND
PSYC 100,PSYC 125,AND
PSYC 124,PSYC 125,AND
PSYC 2,PSYC 170,AND
COGS 14A,PSYC 174,OR/complex
COGS 14B,PSYC 174,OR/complex
MATH 11,PSYC 174,OR/complex
PSYC 60,PSYC 174,OR/complex
PSYC 70,PSYC 174,OR/complex
BILD 2,PSYC 187,OR/complex
PSYC 102,PSYC 187,OR/complex
PSYC 106,PSYC 187,OR/complex
PSYC 110,PSYC 193,AND
PSYC 194A,PSYC 193L,AND
PSYC 194B,PSYC 194A,AND
COGS 14B,PSYC 71,AND
PSYC 60,PSYC 71,AND
RELI 101,RELI 192,AND
MATH 20C,SE 101B,AND
PHYS 2A,SE 101B,AND
SE 101A,SE 101C,AND
MATH 18,SE 103,AND
SE 101B,SE 103,AND
SE 101A,SE 104,AND
SE 104L,SE 104,AND
SE 9,SE 104,AND
SE 1,SE 104L,OR/complex
SE 101A,SE 104L,OR/complex
MATH 20D,SE 110A,AND
SE 101A,SE 110A,AND
MAE 131A,SE 110B,AND
SE 110A,SE 110B,AND
MATH 20D,SE 115,AND
PHYS 2A,SE 115,AND
SE 103,SE 120,AND
SE 101A,SE 121A,AND
SE 9,SE 121A,AND
SE 101C,SE 121B,AND
SE 121A,SE 121B,AND
MAE 131A,SE 130A-B,AND
SE 110A,SE 130A-B,AND
SE 101C,SE 131,OR/complex
SE 121B,SE 131,OR/complex
SE 103,SE 140,AND
SE 150,SE 140A,AND
SE 140A,SE 140B,AND
SE 151A,SE 140B,AND
SE 181,SE 140B,AND
MAE 131A,SE 142,AND
SE 110A,SE 142,AND
SE 110B,SE 142,AND
SE 160A,SE 142,AND
SE 142,SE 143A,AND
SE 160B,SE 143A,AND
SE 3,SE 143A,AND
SE 143A,SE 143B,AND
SE 103,SE 151A,AND
SE 151A,SE 151B,AND
SE 150,SE 152,AND
SE 151A,SE 152,AND
SE 103,SE 154,AND
MAE 131A,SE 160A,AND
SE 101B,SE 160A,AND
SE 110A,SE 160A,AND
SE 2,SE 160A,AND
SE 2L,SE 160A,AND
SE 101C,SE 160B,AND
SE 160A,SE 160B,AND
SE 110A,SE 163,AND
SE 110B,SE 163,AND
SE 101C,SE 164,AND
SE 110A,SE 164,AND
SE 101C,SE 168,AND
SE 131,SE 168,AND
SE 160A,SE 171,AND
SE 110A,SE 180,AND
MAE 131A,SE 181,OR/complex
SE 110A,SE 181,OR/complex
SE 181,SE 182,AND
SE 181,SE 184,AND
CHEM 6A,SE 2,AND
PHYS 2A,SE 2,AND
CHEM 6A,SE 2L,AND
PHYS 2A,SE 2L,AND
SE 2,SE 2L,AND
SE 1,SE 3,AND
MATH 18,SE 9,AND
MATH 20D,SE 9,AND
SIO 50,SIO 100,AND
CHEM 6A,SIO 101,AND
SIO 50,SIO 102,AND
SIO 50,SIO 103,AND
BILD 3,SIO 104/SIOG 255,AND
SIO 50,SIO 105,AND
CHEM 6C,SIO 106,AND
MATH 20C,SIO 106,AND
PHYS 2C,SIO 106,AND
SIO 50,SIO 106,AND
ESYS 102,SIO 108,OR/complex
SIO 12,SIO 108,OR/complex
SIO 50,SIO 108,OR/complex
SIO 50,SIO 113,AND
MATH 20D,SIO 117,AND
PHYS 2C,SIO 117,AND
CHEM 6C,SIO 119,AND
PHYS 1C,SIO 119,AND
SIO 50,SIO 120,AND
BILD 1,SIO 121,AND
BILD 2,SIO 121,AND
BILD 3,SIO 121,AND
SIO 10,SIO 121GS,OR/complex
SIO 50,SIO 121GS,OR/complex
BILD 3,SIO 122,AND
BICD 100,SIO 123,AND
BILD 1,SIO 124,OR/complex
BILD 3,SIO 124,OR/complex
CHEM 6C,SIO 124,OR/complex
BILD 3,SIO 125,OR/complex
PHYS 1C,SIO 125,OR/complex
PHYS 2C,SIO 125,OR/complex
BILD 1,SIO 126,AND
BICD 100,SIO 127,AND
BILD 3,SIO 127,AND
BILD 1,SIO 128,OR/complex
BILD 2,SIO 128,OR/complex
BILD 3,SIO 128,OR/complex
BILD 2,SIO 131,OR/complex
BILD 3,SIO 131,OR/complex
SIO 183,SIO 131,OR/complex
SIO 184,SIO 131,OR/complex
SIO 188,SIO 131,OR/complex
BILD 3,SIO 132,AND
BILD 3,SIO 133,AND
BILD 3,SIO 134,AND
BILD 3,SIO 136,AND
SIO 132,SIO 136,AND
SIO 134,SIO 136,AND
SIO 134,SIO 137,AND
BILD 3,SIO 138,OR/complex
CHEM 6B,SIO 138,OR/complex
MATH 10A,SIO 138,OR/complex
MATH 20A,SIO 138,OR/complex
CHEM 6C,SIO 141/CHEM 174,AND
CHEM 6C,SIO 143,AND
MATH 10C,SIO 143,AND
PHYS 1C,SIO 143,AND
SIO 50,SIO 144/SIOG 252A,AND
BILD 2,SIO 146,AND
BILD 3,SIO 147,AND
CHEM 6C,SIO 150,AND
MATH 20D,SIO 150,AND
PHYS 2C,SIO 150,AND
SIO 120,SIO 152,AND
SIO 50,SIO 152,AND
SIO 50,SIO 153,AND
SIO 102,SIO 155,AND
SIO 50,SIO 160,AND
SIO 100,SIO 162,AND
ANTH 3,SIO 167,AND
SIO 50,SIO 167,AND
CHEM 6A,SIO 170,OR/complex
CHEM 6AH,SIO 170,OR/complex
SIO 100,SIO 170,OR/complex
SIO 170,SIO 170L,AND
MATH 20C,SIO 171,OR/complex
PHYS 2C,SIO 171,OR/complex
PHYS 4C,SIO 171,OR/complex
MATH 20C,SIO 172,AND
PHYS 2C,SIO 172,AND
MATH 20E,SIO 173,AND
PHYS 2C,SIO 173,AND
CHEM 6C,SIO 174,OR/complex
CHEM 6CH,SIO 174,OR/complex
MATH 20C,SIO 174,OR/complex
MATH 31BH,SIO 174,OR/complex
MATH 18,SIO 175,OR/complex
MATH 31AH,SIO 175,OR/complex
SIO 171,SIO 176,AND
MATH 20D,SIO 177,AND
MATH 20E,SIO 177,AND
PHYS 2A,SIO 177,AND
MATH 18,SIO 178,OR/complex
MATH 31AH,SIO 178,OR/complex
PHYS 2C,SIO 178,OR/complex
SIO 177,SIO 178,OR/complex
CHEM 6A,SIO 179,OR/complex
CHEM 6AH,SIO 179,OR/complex
PHYS 2A,SIO 179,OR/complex
PHYS 4A,SIO 179,OR/complex
BILD 1,SIO 180,OR/complex
CHEM 6A,SIO 180,OR/complex
SIO 50,SIO 180,OR/complex
BILD 3,SIO 182,AND
BILD 3,SIO 183,AND
BILD 1,SIO 184,OR/complex
SIO 132,SIO 184,OR/complex
SIO 134,SIO 184,OR/complex
BILD 3,SIO 185,AND
BILD 3,SIO 187,AND
BILD 1,SIO 188,AND
CHEM 6C,SIO 188,AND
MUS 173,TDDE 142,AND
ECON 2,USP 102,AND
MATH 10A,USP 102,AND
COMM 10,USP 114,OR/complex
USP 2,USP 114,OR/complex
USP 159A,USP 154,AND
USP 124,USP 161,AND
USP 177A,USP 175,OR/complex
USP 179,USP 175,OR/complex
USP 186,USP 185A,AND
USP 186,USP 187,AND
VIS 100,VIS 101,AND
VIS 101,VIS 102,AND
VIS 80,VIS 105B,AND
VIS 105A,VIS 105C,AND
VIS 105B,VIS 105D,AND
VIS 80,VIS 105E,AND
VIS 105D,VIS 106A,AND
VIS 80,VIS 106B,AND
VIS 106A,VIS 106C,AND
VIS 106B,VIS 107A,AND
VIS 80,VIS 107B,AND
VIS 107A,VIS 107C,AND
VIS 107B,VIS 108,AND
VIS 110M,VIS 112,AND
VIS 23,VIS 113AN,AND
VIS 112,VIS 113BN,AND
VIS 23,VIS 122D,AND
VIS 112,VIS 128E,AND
VIS 112,VIS 129A,AND
VIS 112,VIS 129A-F,AND
VIS 112,VIS 129D,AND
VIS 112,VIS 129E,AND
VIS 30,VIS 132,AND
CSE 11,VIS 135,OR/complex
CSE 8B,VIS 135,OR/complex
VIS 142,VIS 135,OR/complex
VIS 142,VIS 143,AND
VIS 41,VIS 145B,OR/complex
VIS 70N,VIS 145B,OR/complex
VIS 80,VIS 145B,OR/complex
VIS 159,VIS 149,OR/complex
VIS 22,VIS 149,OR/complex
VIS 84,VIS 149,OR/complex
VIS 84,VIS 150A,AND
VIS 159,VIS 151,OR/complex
VIS 22,VIS 151,OR/complex
VIS 70N,VIS 151,OR/complex
VIS 84,VIS 151A,AND
VIS 84,VIS 152D,AND
VIS 84,VIS 154,AND
VIS 84,VIS 155,AND
MUS 172,VIS 159,OR/complex
VIS 141B,VIS 159,OR/complex
VIS 145B,VIS 159,OR/complex
VIS 147B,VIS 159,OR/complex
MUS 160A,VIS 160A,AND
VIS 135,VIS 160B,AND
VIS 161,VIS 162,AND
VIS 60,VIS 163,AND
VIS 60,VIS 164,AND
VIS 164,VIS 165,AND
VIS 164,VIS 167,OR/complex
VIS 165,VIS 167,OR/complex
VIS 174,VIS 168,AND
VIS 70N,VIS 171,AND
VIS 174,VIS 175,AND
VIS 174,VIS 176,AND
VIS 174,VIS 177,AND
VIS 164,VIS 178,AND
VIS 174,VIS 178,AND
VIS 164,VIS 180A,AND
VIS 174,VIS 180A,AND
VIS 164,VIS 180B,AND
VIS 174,VIS 180B,AND
VIS 164,VIS 181,AND
VIS 174,VIS 181,AND
VIS 164,VIS 182,AND
VIS 174,VIS 182,AND
VIS 164,VIS 183A,AND
VIS 174,VIS 183A,AND
VIS 164,VIS 183B,AND
VIS 174,VIS 183B,AND
VIS 164,VIS 184,AND
VIS 174,VIS 184,AND
VIS 100,VIS 185,AND
VIS 135,VIS 185,AND
VIS 84,VIS 190,AND
