prerequisite_course,target_course,relation_context
BIBC 102,BIPN 102,OR/complex
BIPN 100,BIPN 102,OR/complex
CHEM 114B,BIPN 102,OR/complex
BIPN 100,BIPN 105,AND
BIPN 100,BIPN 106,AND
BILD 1,BIPN 108,AND
BILD 2,BIPN 108,AND
BIPN 100,BIPN 120,OR/complex
BIPN 140,BIPN 120,OR/complex
BILD 2,BIPN 140,AND
BILD 4,BIPN 140,AND
MATH 11,BIPN 140,AND
BILD 2,BIPN 142,OR/complex
MATH 10A,BIPN 142,OR/complex
MATH 10B,BIPN 142,OR/complex
MATH 11,BIPN 142,OR/complex
MATH 20A,BIPN 142,OR/complex
MATH 20B,BIPN 142,OR/complex
BILD 2,BIPN 144,OR/complex
MATH 10A,BIPN 144,OR/complex
MATH 10B,BIPN 144,OR/complex
MATH 11,BIPN 144,OR/complex
MATH 20A,BIPN 144,OR/complex
MATH 20B,BIPN 144,OR/complex
BIPN 100,BIPN 145,AND
BIBC 102,BIPN 146,OR/complex
BICD 100,BIPN 146,OR/complex
CHEM 114B,BIPN 146,OR/complex
BIPN 100,BIPN 147,AND
BILD 1,BIPN 148,AND
BILD 2,BIPN 148,AND
BILD 2,BIPN 150,OR/complex
PSYC 102,BIPN 150,OR/complex
PSYC 106,BIPN 150,OR/complex
BIPN 100,BIPN 152,OR/complex
BIPN 140,BIPN 152,OR/complex
BILD 1,BIPN 160,AND
BILD 2,BIPN 160,AND
BICD 100,BISP 191,AND
CAT 1,CAT 199,AND
CCS 101,CCS 197,AND
CCS 102,CCS 197,AND
CCS 101,CCS 199,AND
CCS 102,CCS 199,AND
MAE 170,CENG 101A,AND
CGS 2A,CGS 124,OR/complex
CGS 2B,CGS 124,OR/complex
ETHN 1,CGS 125,OR/complex
ETHN 1,CGS 137,OR/complex
ETHN 1,CGS 147,OR/complex
ETHN 1,CGS 150,OR/complex
ETHN 1,CGS 165,OR/complex
CHEM 6C,CHEM 100A,AND
CHEM 100A,CHEM 100B,AND
PHYS 2BL,CHEM 100B,AND
PHYS 2C,CHEM 100B,AND
PHYS 2BL,CHEM 105A,AND
CHEM 105A,CHEM 105B,AND
CHEM 114A,CHEM 108,AND
CHEM 43A,CHEM 108,AND
CHEM 114A,CHEM 109,AND
CHEM 43A,CHEM 109,AND
CHEM 6C,CHEM 111,AND
CHEM 40C,CHEM 113,AND
CHEM 40A,CHEM 114A,AND
CHEM 40B,CHEM 114B,AND
BIBC 100,CHEM 114C,OR/complex
CHEM 114A,CHEM 114C,OR/complex
CHEM 114A,CHEM 114D,AND
CHEM 114A,CHEM 115,AND
CHEM 114A,CHEM 116,AND
CHEM 40C,CHEM 116,AND
CHEM 114A,CHEM 118,AND
BIMM 100,CHEM 119,OR/complex
CHEM 114C,CHEM 119,OR/complex
CHEM 40C,CHEM 119,OR/complex
CHEM 40CH,CHEM 119,OR/complex
CHEM 11,CHEM 12,AND
CHEM 40A,CHEM 120A,AND
CHEM 6C,CHEM 120A,AND
CHEM 120A,CHEM 120B,AND
CHEM 114A,CHEM 123,AND
CHEM 6C,CHEM 125,AND
MATH 10C,CHEM 125,AND
